Name,DayofWeek,Open,Close,breakOpen,breakClose
Beverly Medical Clinic,Monday,9:00,21:00,,
Beverly Medical Clinic,Tuesday,9:00,21:00,,
Beverly Medical Clinic,Wednesday,9:00,21:00,,
Beverly Medical Clinic,Thursday,9:00,21:00,,
Beverly Medical Clinic,Friday,9:00,21:00,,
Beverly Medical Clinic,Saturday,9:00,21:00,,
Beverly Medical Clinic,Sunday,9:00,21:00,,
Beverly Medical Clinic,Holiday,,,,
Capilano Medical Center,Monday,9:00,19:00,,
Capilano Medical Center,Tuesday,9:00,19:00,,
Capilano Medical Center,Wednesday,9:00,19:00,,
Capilano Medical Center,Thursday,9:00,19:00,,
Capilano Medical Center,Friday,9:00,19:00,,
Capilano Medical Center,Saturday,10:00,18:00,,
Capilano Medical Center,Sunday,,,,
Capilano Medical Center,Holiday,,,,
Care Plus Medical Clinic,Monday,9:00,19:00,,
Care Plus Medical Clinic,Tuesday,9:00,19:00,,
Care Plus Medical Clinic,Wednesday,9:00,19:00,,
Care Plus Medical Clinic,Thursday,9:00,19:00,,
Care Plus Medical Clinic,Friday,9:00,19:00,,
Care Plus Medical Clinic,Saturday,10:00,16:00,,
Care Plus Medical Clinic,Sunday,10:00,16:00,,
Care Plus Medical Clinic,Holiday,,,,
DX Medical Centres (38 Ave),Monday,9:00,19:00,,
DX Medical Centres (38 Ave),Tuesday,9:00,19:00,,
DX Medical Centres (38 Ave),Wednesday,9:00,19:00,,
DX Medical Centres (38 Ave),Thursday,9:00,19:00,,
DX Medical Centres (38 Ave),Friday,9:00,19:00,,
DX Medical Centres (38 Ave),Saturday,10:00,15:00,,
DX Medical Centres (38 Ave),Sunday,10:00,15:00,,
DX Medical Centres (38 Ave),Holiday,,,,
Dominion Medical Centres (111 Street NW),Monday,7:00,22:00,,
Dominion Medical Centres (111 Street NW),Tuesday,7:00,22:00,,
Dominion Medical Centres (111 Street NW),Wednesday,7:00,22:00,,
Dominion Medical Centres (111 Street NW),Thursday,7:00,22:00,,
Dominion Medical Centres (111 Street NW),Friday,7:00,14:30,,
Dominion Medical Centres (111 Street NW),Saturday,9:00,16:00,,
Dominion Medical Centres (111 Street NW),Sunday,9:00,16:00,,
Dominion Medical Centres (111 Street NW),Holiday,9:00,16:00,,
Dominion Medical Centres (23 Ave),Monday,7:00,22:00,,
Dominion Medical Centres (23 Ave),Tuesday,7:00,22:00,,
Dominion Medical Centres (23 Ave),Wednesday,7:00,22:00,,
Dominion Medical Centres (23 Ave),Thursday,7:00,22:00,,
Dominion Medical Centres (23 Ave),Friday,7:00,14:30,,
Dominion Medical Centres (23 Ave),Saturday,9:00,16:00,,
Dominion Medical Centres (23 Ave),Sunday,9:00,16:00,,
Dominion Medical Centres (23 Ave),Holiday,9:00,16:00,,
Dominion Medical Centres (Mullen Way NW),Monday,7:00,22:00,,
Dominion Medical Centres (Mullen Way NW),Tuesday,7:00,22:00,,
Dominion Medical Centres (Mullen Way NW),Wednesday,7:00,22:00,,
Dominion Medical Centres (Mullen Way NW),Thursday,7:00,22:00,,
Dominion Medical Centres (Mullen Way NW),Friday,7:00,14:30,,
Dominion Medical Centres (Mullen Way NW),Saturday,9:00,16:00,,
Dominion Medical Centres (Mullen Way NW),Sunday,9:00,16:00,,
Dominion Medical Centres (Mullen Way NW),Holiday,9:00,16:00,,
Edge Centre Walk-In Clinic,Monday,,,,
Edge Centre Walk-In Clinic,Tuesday,9:00,16:30,,
Edge Centre Walk-In Clinic,Wednesday,,,,
Edge Centre Walk-In Clinic,Thursday,9:00,16:30,,
Edge Centre Walk-In Clinic,Friday,,,,
Edge Centre Walk-In Clinic,Saturday,10:00,15:00,,
Edge Centre Walk-In Clinic,Sunday,,,,
Edge Centre Walk-In Clinic,Holiday,,,,
Jack Nathan Health (127 Street NW),Monday,8:30,20:30,,
Jack Nathan Health (127 Street NW),Tuesday,8:30,20:30,,
Jack Nathan Health (127 Street NW),Wednesday,8:30,20:30,,
Jack Nathan Health (127 Street NW),Thursday,8:30,20:30,,
Jack Nathan Health (127 Street NW),Friday,8:30,20:30,,
Jack Nathan Health (127 Street NW),Saturday,,,,
Jack Nathan Health (127 Street NW),Sunday,,,,
Jack Nathan Health (127 Street NW),Holiday,,,,
Jack Nathan Health (Tamarack Way NW),Monday,9:00,18:00,,
Jack Nathan Health (Tamarack Way NW),Tuesday,9:00,18:00,,
Jack Nathan Health (Tamarack Way NW),Wednesday,9:00,18:00,,
Jack Nathan Health (Tamarack Way NW),Thursday,9:00,18:00,,
Jack Nathan Health (Tamarack Way NW),Friday,9:00,18:00,,
Jack Nathan Health (Tamarack Way NW),Saturday,10:00,17:00,,
Jack Nathan Health (Tamarack Way NW),Sunday,10:00,17:00,,
Jack Nathan Health (Tamarack Way NW),Holiday,,,,
Jack Nathan Health (Watt Common SW),Monday,9:00,21:00,,
Jack Nathan Health (Watt Common SW),Tuesday,9:00,21:00,,
Jack Nathan Health (Watt Common SW),Wednesday,9:00,21:00,,
Jack Nathan Health (Watt Common SW),Thursday,9:00,21:00,,
Jack Nathan Health (Watt Common SW),Friday,9:00,21:00,,
Jack Nathan Health (Watt Common SW),Saturday,10:00,16:00,,
Jack Nathan Health (Watt Common SW),Sunday,10:00,16:00,,
Jack Nathan Health (Watt Common SW),Holiday,,,,
Jasper Avenue Medical Clinic,Monday,9:00,19:00,,
Jasper Avenue Medical Clinic,Tuesday,9:00,19:00,,
Jasper Avenue Medical Clinic,Wednesday,9:00,19:00,,
Jasper Avenue Medical Clinic,Thursday,9:00,19:00,,
Jasper Avenue Medical Clinic,Friday,9:00,19:00,,
Jasper Avenue Medical Clinic,Saturday,10:00,16:00,,
Jasper Avenue Medical Clinic,Sunday,11:00,15:00,,
Jasper Avenue Medical Clinic,Holiday,,,,
Justik Medical Clinic,Monday,8:30,20:00,,
Justik Medical Clinic,Tuesday,8:30,20:00,,
Justik Medical Clinic,Wednesday,8:30,20:00,,
Justik Medical Clinic,Thursday,8:30,20:00,,
Justik Medical Clinic,Friday,8:30,17:00,,
Justik Medical Clinic,Saturday,10:00,14:00,,
Justik Medical Clinic,Sunday,,,,
Justik Medical Clinic,Holiday,,,,
Kensington Medical Clinic,Monday,9:00,21:00,,
Kensington Medical Clinic,Tuesday,9:00,21:00,,
Kensington Medical Clinic,Wednesday,9:00,21:00,,
Kensington Medical Clinic,Thursday,9:00,21:00,,
Kensington Medical Clinic,Friday,9:00,21:00,,
Kensington Medical Clinic,Saturday,10:00,18:00,,
Kensington Medical Clinic,Sunday,10:00,17:00,,
Kensington Medical Clinic,Holiday,,,,
Millbourne Mall Medical Centre,Monday,7:00,21:00,,
Millbourne Mall Medical Centre,Tuesday,7:00,21:00,,
Millbourne Mall Medical Centre,Wednesday,7:00,21:00,,
Millbourne Mall Medical Centre,Thursday,7:00,21:00,,
Millbourne Mall Medical Centre,Friday,7:00,21:00,,
Millbourne Mall Medical Centre,Saturday,8:00,17:00,,
Millbourne Mall Medical Centre,Sunday,8:00,17:00,,
Millbourne Mall Medical Centre,Holiday,,,,
North Town Medical Centre,Monday,8:00,17:00,,
North Town Medical Centre,Tuesday,8:00,17:00,,
North Town Medical Centre,Wednesday,8:00,17:00,,
North Town Medical Centre,Thursday,8:00,17:00,,
North Town Medical Centre,Friday,8:00,17:00,,
North Town Medical Centre,Saturday,8:00,14:00,,
North Town Medical Centre,Sunday,,,,
North Town Medical Centre,Holiday,,,,
Park Centre,Monday,8:00,19:00,,
Park Centre,Tuesday,8:00,19:00,,
Park Centre,Wednesday,8:00,19:00,,
Park Centre,Thursday,8:00,19:00,,
Park Centre,Friday,8:00,19:00,,
Park Centre,Saturday,,,,
Park Centre,Sunday,,,,
Park Centre,Holiday,,,,
Rutherford Medical Clinic,Monday,9:00,16:00,11:00,13:00
Rutherford Medical Clinic,Tuesday,9:00,16:00,11:00,13:00
Rutherford Medical Clinic,Wednesday,9:00,16:00,11:00,13:00
Rutherford Medical Clinic,Thursday,9:00,16:00,11:00,13:00
Rutherford Medical Clinic,Friday,9:00,16:00,11:00,13:00
Rutherford Medical Clinic,Saturday,10:00,14:00,,
Rutherford Medical Clinic,Sunday,,,,
Rutherford Medical Clinic,Holiday,,,,
Shifa Medical Clinic ,Monday,9:00,20:00,,
Shifa Medical Clinic ,Tuesday,9:00,20:00,,
Shifa Medical Clinic ,Wednesday,9:00,20:00,,
Shifa Medical Clinic ,Thursday,9:00,20:00,,
Shifa Medical Clinic ,Friday,9:00,20:00,,
Shifa Medical Clinic ,Saturday,9:00,15:00,,
Shifa Medical Clinic ,Sunday,,,,
Shifa Medical Clinic ,Holiday,10:00,14:00,,
Stony Plain Medical,Monday,9:00,17:00,,
Stony Plain Medical,Tuesday,9:00,17:00,,
Stony Plain Medical,Wednesday,9:00,17:00,,
Stony Plain Medical,Thursday,9:00,17:00,,
Stony Plain Medical,Friday,9:00,17:00,,
Stony Plain Medical,Saturday,11:00,16:00,,
Stony Plain Medical,Sunday,,,,
Stony Plain Medical,Holiday,,,,
TLC Family Medical Clinic,Monday,9:30,18:00,,
TLC Family Medical Clinic,Tuesday,9:30,18:00,,
TLC Family Medical Clinic,Wednesday,9:30,18:00,,
TLC Family Medical Clinic,Thursday,9:30,18:00,,
TLC Family Medical Clinic,Friday,9:30,18:00,13:00,15:00
TLC Family Medical Clinic,Saturday,,,,
TLC Family Medical Clinic,Sunday,,,,
TLC Family Medical Clinic,Holiday,,,,
West End Medical Clinic,Monday,9:00,21:00,,
West End Medical Clinic,Tuesday,9:00,21:00,,
West End Medical Clinic,Wednesday,9:00,21:00,,
West End Medical Clinic,Thursday,9:00,21:00,,
West End Medical Clinic,Friday,9:00,21:00,,
West End Medical Clinic,Saturday,9:00,18:00,,
West End Medical Clinic,Sunday,9:00,18:00,,
West End Medical Clinic,Holiday,9:00,18:00,,
West Gate,Monday,9:00,17:00,,
West Gate,Tuesday,9:00,17:00,,
West Gate,Wednesday,9:00,17:00,,
West Gate,Thursday,9:00,17:00,,
West Gate,Friday,9:00,17:00,,
West Gate,Saturday,10:00,16:00,,
West Gate,Sunday,,,,
West Gate,Holiday,,,,
Westmount Medical Clinic,Monday,9:00,19:00,,
Westmount Medical Clinic,Tuesday,9:00,19:00,,
Westmount Medical Clinic,Wednesday,9:00,19:00,,
Westmount Medical Clinic,Thursday,9:00,19:00,,
Westmount Medical Clinic,Friday,9:00,19:00,,
Westmount Medical Clinic,Saturday,10:00,18:00,,
Westmount Medical Clinic,Sunday,,,,
Westmount Medical Clinic,Holiday,,,,